ticker,degree,weighted_degree,betweenness,eigenvector,community,rank_degree,rank_weighted_degree,rank_betweenness,rank_eigenvector
KFY,4,2.231292808802246,0.0028910089621277824,0.0008828323924600246,41,660.0,745.0,340.0,180.0
KF,4,1.8415141541535134,0.005644719170870232,4.05127060572923e-10,22,660.0,831.0,173.0,2342.0
PLXS,4,2.5025486735558493,0.0008673026886383349,6.040512325633262e-10,4,660.0,706.0,515.0,2247.0
PKG,4,2.535988158245704,0.0017346053772766695,6.480005636600997e-08,16,660.0,698.0,388.0,1398.0
PML,4,2.870646766110276,0.0,7.614921322702417e-09,33,660.0,674.0,1254.0,1726.0
PM,4,2.0578216272174443,0.0008673026886383347,1.030342906131398e-10,15,660.0,795.0,524.0,2550.0
AFG,4,2.8869091689919717,4.81834827021297e-06,1.929431030093807e-05,54,660.0,672.0,1193.0,424.0
LITE,4,2.3299791795821188,0.0008673026886383347,5.429947476047187e-12,57,660.0,727.0,524.0,2883.0
FTS,4,2.514231639235476,0.0014455044810638914,3.73702736661709e-09,8,660.0,703.0,417.0,1818.0
AEIS,4,2.9947988333637143,0.0,9.539959820200533e-09,57,660.0,652.0,1254.0,1697.0
CMRE,4,1.7788535576155318,0.01454177507950274,1.1163859231075984e-10,25,660.0,842.0,79.0,2541.0
ORLA,4,0.47583103399076415,0.0008673026886383347,1.8390384913003576e-11,8,660.0,2260.0,524.0,2737.0
VALE,4,2.9271563911687695,0.019352413992483376,5.847334058232728e-10,24,660.0,661.0,59.0,2262.0
RRC,4,2.6860311119294122,0.001156403584851113,2.790852225405264e-12,10,660.0,689.0,462.0,2958.0
DHF,4,2.8491963469202792,0.0,1.2067965915352923e-06,29,660.0,679.0,1254.0,772.0
DHR,4,2.5522786557926365,0.0005782017924255565,3.4947496312906725e-10,53,660.0,695.0,641.0,2371.0
DIOD,4,2.853526642454967,0.013120041116571906,2.615715767922102e-10,57,660.0,678.0,89.0,2413.0
DCI,4,2.714684775540783,0.00028910089621277823,7.725489969938138e-06,16,660.0,688.0,818.0,480.0
JBL,4,2.5679795039291036,0.008386816999132697,5.273605155304188e-08,4,660.0,694.0,127.0,1429.0
RIO,4,3.0100323510042553,0.014542738749156788,7.055455415507762e-10,24,660.0,650.0,78.0,2220.0
PAYX,4,2.537796980052791,0.010667823070251518,2.1417741628028003e-08,0,660.0,697.0,108.0,1572.0
W,4,1.5823462591904538,0.0008673026886383347,5.90723645522318e-11,59,660.0,883.0,524.0,2623.0
ACRE,4,2.3323175437724584,0.00028910089621277823,4.40905173559401e-11,14,660.0,726.0,818.0,2653.0
ACM,4,2.50828972847184,0.0008673026886383347,4.983032831111744e-06,4,660.0,705.0,524.0,511.0
DBI,4,2.2739876794773344,0.005071351841592047,4.168857881497251e-10,48,660.0,736.0,194.0,2336.0
MARA,4,1.3499891869879777,0.0008673026886383347,1.4158528148067627e-10,42,660.0,996.0,524.0,2500.0
LYG,4,3.0326064858493913,0.0,2.7121242734246836e-10,7,660.0,647.0,1254.0,2411.0
CNK,4,2.1661342670225445,0.006782307025151776,5.408072029385822e-12,11,660.0,764.0,156.0,2885.0
LSTR,4,2.5357537323948165,0.0008673026886383347,1.773868128233325e-10,16,660.0,699.0,524.0,2464.0
CWT,4,3.006346889800947,0.001300954032957502,1.8889438926115825e-09,8,660.0,651.0,441.0,1986.0
GPI,4,3.0895399623989457,0.0,2.5111669021627847e-11,31,660.0,642.0,1254.0,2689.0
ELV,4,2.5326025271064787,0.009812084417461694,1.2247666707574126e-07,21,660.0,701.0,111.0,1290.0
SCHW,4,2.9017464495645244,0.0,0.0011564726393378355,54,660.0,667.0,1254.0,166.0
SAH,4,2.95423987093061,0.0,2.393387168013626e-11,31,660.0,658.0,1254.0,2697.0
SAFT,4,2.2158208554454593,0.0056384311458032195,6.8068825031957855e-06,44,660.0,750.0,174.0,489.0
RUN,4,2.1229442375922902,0.004625614339404452,1.0053600321484109e-08,42,660.0,779.0,213.0,1680.0
DB,4,2.8632765556729183,0.00491471523561723,1.026245993951307e-06,7,660.0,676.0,201.0,796.0
WATT,4,0.8010927620356993,0.0008673026886383347,3.474298613283894e-07,42,660.0,1264.0,524.0,1122.0
