network,model_type,repetition,nodes,edges,density,min_degree,max_degree,average_degree,average_clustering,assortativity,connected,largest_cc_size,average_path_lcc,diameter_lcc,louvain_communities_unweighted,modularity_unweighted,louvain_communities_weighted,modularity_weighted,degree_sequence_error_mean,degree_sequence_error_max
Configuration model rep 27,Configuration model,27,3461,12200,0.002037568078990836,1,256,7.049985553308292,0.05941941205204724,-0.061010138195663484,False,3316,3.557720417665071,9,94,0.3044812046492878,,,0.583646344986998,105.0
"ER same n,m rep 28","ER same n,m",28,3461,13210,0.0022062519937269625,1,19,7.63363189829529,0.002138418496747439,0.001309738705511945,True,3461,4.243886878228585,7,26,0.3216268614892143,,,,
BA similar avg degree rep 28,BA similar avg degree,28,3461,13828,0.002309466507892236,4,254,7.990754117307136,0.014678451806925267,-0.05066849914963576,True,3461,3.561506163643439,6,17,0.3297557013522638,,,,
Configuration model rep 28,Configuration model,28,3461,12137,0.002027046211041949,1,248,7.013579890205143,0.05167791090781554,-0.04651827782212819,False,3294,3.5706529885936775,8,102,0.3058508567247171,,,0.6200520080901474,113.0
"ER same n,m rep 29","ER same n,m",29,3461,13210,0.0022062519937269625,1,19,7.63363189829529,0.002578289475140096,-0.001322023207881413,True,3461,4.239261097647945,7,22,0.32213127657172524,,,,
BA similar avg degree rep 29,BA similar avg degree,29,3461,13828,0.002309466507892236,4,157,7.990754117307136,0.011987618684013674,-0.03315952095469605,True,3461,3.614760343580742,6,20,0.31771255330897413,,,,
Configuration model rep 29,Configuration model,29,3461,12199,0.0020374010652138693,1,253,7.049407685639989,0.05682645048247314,-0.055597661052525685,False,3286,3.56044933952537,8,108,0.3031444935669077,,,0.5842242126553019,108.0
"ER same n,m rep 30","ER same n,m",30,3461,13210,0.0022062519937269625,1,20,7.63363189829529,0.002563918506871518,0.01230603431092784,True,3461,4.23850602836228,7,17,0.32896474065652326,,,,
BA similar avg degree rep 30,BA similar avg degree,30,3461,13828,0.002309466507892236,4,172,7.990754117307136,0.014452279694735146,-0.0448225006396404,True,3461,3.5960003540692074,6,20,0.31955358098407904,,,,
Configuration model rep 30,Configuration model,30,3461,12175,0.0020333927345666746,1,245,7.035538861600694,0.06078579526975056,-0.06518897160698904,False,3272,3.5500689918592596,8,116,0.30574374222600764,,,0.5980930366945969,116.0
