ticker,degree,weighted_degree,betweenness,eigenvector,community
REG,16,12.487859418840786,0.001405034746828949,1.445565969298349e-08,11
PPL,16,11.505557148633564,0.0014459559100949003,5.0324713302829095e-08,8
PFN,16,11.73400488034475,5.520751977894516e-05,4.781767192009115e-06,29
CVX,16,11.84933654672234,0.004053529724956568,7.402209103031982e-08,10
UDR,16,12.292901573883984,0.0012025760623378308,3.6342023134416734e-09,11
WPM,16,12.014043806850639,1.60611609007099e-07,1.6962116159816975e-09,26
VVR,15,9.301784649153706,0.0016194607173681437,1.8844641176225987e-06,29
JCE,15,10.732718183723534,0.0,1.8423687362992194e-05,29
LEN-B,15,12.121596969681988,1.26577244241309e-06,1.9460242276308847e-09,55
LEN,15,12.101385601819544,1.26577244241309e-06,1.943076002880774e-09,55
ES,15,11.376906536500247,0.0,5.1597188754238684e-08,8
NML,15,10.646433391749559,0.0005678653794547962,7.582871717706756e-08,10
O,15,11.134455230806475,0.02188174869747029,1.8275965527798567e-07,11
