source,target,correlation,distance,edge_type
HUBS,WK,0.5469959509368704,0.9518445766648351,MST
FTNT,NOW,0.5469701194855097,0.9518717145860469,MST
ETN,MOD,0.5468210068736435,0.9520283537020906,MST
MXF,TV,0.5466572643996693,0.9522003314432638,MST
KF,SHG,0.5463010815111091,0.9525743209733201,MST
EBF,FCBC,0.5459940805191164,0.9528965520778041,MST
ALX,VNO,0.5453092224818179,0.9536149930849264,MST
ASA,GAU,0.5452996325140296,0.9536250494675257,MST
AMP,DXC,0.5452425789067618,0.9536848757249307,MST
GNRC,RVT,0.544822817614681,0.9541249209462239,MST
RDNT,RMT,0.5447541765503542,0.9541968596150857,MST
ERIC,NOK,0.5447115209744327,0.954241561687152,MST
FIVN,HUBS,0.5439897765383304,0.9549976161872549,MST
FSLR,RUN,0.5434870891134855,0.9555238467840711,MST
CWEN,XIFR,0.5431496873502274,0.9558768881501138,MST
AES,DTE,0.5428208035695486,0.9562208912489325,MST
HD,TSCO,0.5423848963222601,0.9566766472301286,MST
FDX,RVT,0.5423156356645011,0.9567490416357874,MST
MT,PKX,0.5420731005066026,0.9570025073043408,MST
RVT,UHAL,0.5417603632801042,0.9573292398332934,MST
RVT,USPH,0.5417059539596694,0.9573860726377115,MST
DAL,RYAAY,0.541382497655258,0.9577238666178701,MST
DECK,SHOO,0.5412954193998839,0.9578147843921768,MST
TEAM,TWLO,0.541279748143799,0.9578311457205816,MST
RVT,VRRM,0.5411598216449789,0.9579563438435189,MST
ACCO,RMT,0.5411172413228973,0.9580007919381932,MST
AMGN,HQH,0.5410526657530491,0.9580681961603265,MST
EVTC,RVT,0.5407711732750192,0.9583619636911523,MST
JD,VIPS,0.5406545546406171,0.9584836413412416,MST
ATMP,GLP,0.5404503876485989,0.9586966280856537,MST
EMBJ,ITUB,0.540104680850743,0.9590571611215434,MST
ABM,HOMB,0.5400146719383102,0.9591510079874699,MST
NOW,RPD,0.5399668151257713,0.9592009016616162,MST
FPF,NXDT,0.5397565489620569,0.959420086341685,MST
CIGI,FSV,0.5397291917955468,0.9594486001912278,MST
CRK,RRC,0.5397257388632525,0.9594521990560525,MST
BBY,WSM,0.5393777506744869,0.9598148251881851,MST
GIS,HRL,0.5392998227302036,0.9598960123573765,MST
GIL,RVT,0.5392828415339778,0.9599137028566914,MST
ACN,IBM,0.5391831276288116,0.9600175752257751,MST
HSIC,XRAY,0.5387812604977071,0.9604360879332814,MST
MSI,TY,0.5387714866745171,0.9604462643224585,MST
AAT,RMR,0.5386367190412207,0.9605865717974401,MST
FITBI,RZB,0.538264917322654,0.9609735508091218,MST
PDI,RCS,0.5378352221470261,0.9614205925119078,MST
GSBC,MLR,0.5377872383636526,0.9614705004693045,MST
HQL,VRTX,0.536967583397828,0.9623226242816616,MST
LITE,VIAV,0.536891564130223,0.9624016166546865,MST
NMM,SBLK,0.5368180436668833,0.9624780063285775,MST
CSCO,FFIV,0.5365936763142681,0.9627110923695975,MST
DSGX,INTU,0.5365816729112216,0.9627235606224441,MST
CCEP,KO,0.5364501754401052,0.9628601399579222,MST
ARIS,ASA,0.5358051042036635,0.9635298602496308,MST
BBWI,GAP,0.5354146038333826,0.9639350560765154,MST
ANET,APH,0.5351712772592351,0.9641874534972594,MST
CSGP,SPGI,0.5350914995296328,0.9642701908390275,MST
BOOT,SHOO,0.5350825956994832,0.9642794245451022,MST
COLM,CRI,0.5349285385845041,0.9644391752884118,MST
KE,RMT,0.5345683518420196,0.9648125705627808,MST
HAL,TTI,0.5340020979070451,0.965399297796466,MST
FLO,GIS,0.533958726107804,0.9654442230312386,MST
FOXF,RMT,0.5338100208951002,0.9655982385080244,MST
BUD,ING,0.5338072855266774,0.9656010713263761,MST
RZB,SLMBP,0.5334537268679519,0.9659671558930439,MST
BCH,ENIC,0.5330816884237388,0.9663522252018268,MST
